Epoch 091: Train Loss: 0.6106 (TP, FP, TN, FN)=(2402, 3386, 3471, 1574), Val Loss: 0.6804 (TP, FP, TN, FN)=(261, 365, 381, 183)
Epoch 092: Train Loss: 0.6083 (TP, FP, TN, FN)=(2270, 3148, 3709, 1706), Val Loss: 0.6797 (TP, FP, TN, FN)=(249, 348, 398, 195)
Epoch 093: Train Loss: 0.6100 (TP, FP, TN, FN)=(1757, 2325, 4532, 2219), Val Loss: 0.6806 (TP, FP, TN, FN)=(188, 261, 485, 256)
Epoch 094: Train Loss: 0.6051 (TP, FP, TN, FN)=(2248, 3075, 3782, 1728), Val Loss: 0.6804 (TP, FP, TN, FN)=(244, 335, 411, 200)
Epoch 095: Train Loss: 0.6057 (TP, FP, TN, FN)=(2432, 3419, 3438, 1544), Val Loss: 0.6811 (TP, FP, TN, FN)=(265, 358, 388, 179)
Epoch 096: Train Loss: 0.6033 (TP, FP, TN, FN)=(1904, 2579, 4278, 2072), Val Loss: 0.6779 (TP, FP, TN, FN)=(197, 287, 459, 247)
Epoch 097: Train Loss: 0.6006 (TP, FP, TN, FN)=(1931, 2612, 4245, 2045), Val Loss: 0.6762 (TP, FP, TN, FN)=(202, 292, 454, 242)
Epoch 098: Train Loss: 0.6002 (TP, FP, TN, FN)=(2321, 3263, 3594, 1655), Val Loss: 0.6792 (TP, FP, TN, FN)=(253, 359, 387, 191)
Epoch 099: Train Loss: 0.5965 (TP, FP, TN, FN)=(2089, 2826, 4031, 1887), Val Loss: 0.6775 (TP, FP, TN, FN)=(225, 316, 430, 219)
Epoch 100: Train Loss: 0.5965 (TP, FP, TN, FN)=(1869, 2450, 4407, 2107), Val Loss: 0.6779 (TP, FP, TN, FN)=(195, 289, 457, 249)
Epoch 101: Train Loss: 0.5936 (TP, FP, TN, FN)=(2186, 2991, 3866, 1790), Val Loss: 0.6791 (TP, FP, TN, FN)=(229, 335, 411, 215)
Epoch 102: Train Loss: 0.5919 (TP, FP, TN, FN)=(2192, 2993, 3864, 1784), Val Loss: 0.6783 (TP, FP, TN, FN)=(226, 340, 406, 218)
Epoch 103: Train Loss: 0.5916 (TP, FP, TN, FN)=(1851, 2453, 4404, 2125), Val Loss: 0.6787 (TP, FP, TN, FN)=(191, 289, 457, 253)
Epoch 104: Train Loss: 0.5885 (TP, FP, TN, FN)=(2142, 2948, 3909, 1834), Val Loss: 0.6790 (TP, FP, TN, FN)=(225, 330, 416, 219)
Epoch 105: Train Loss: 0.5873 (TP, FP, TN, FN)=(2260, 3098, 3759, 1716), Val Loss: 0.6812 (TP, FP, TN, FN)=(235, 354, 392, 209)
Epoch 106: Train Loss: 0.5865 (TP, FP, TN, FN)=(1846, 2401, 4456, 2130), Val Loss: 0.6828 (TP, FP, TN, FN)=(190, 284, 462, 254)
Epoch 107: Train Loss: 0.5840 (TP, FP, TN, FN)=(2220, 3030, 3827, 1756), Val Loss: 0.6850 (TP, FP, TN, FN)=(235, 346, 400, 209)
Epoch 108: Train Loss: 0.5811 (TP, FP, TN, FN)=(2103, 2810, 4047, 1873), Val Loss: 0.6857 (TP, FP, TN, FN)=(218, 321, 425, 226)
Epoch 109: Train Loss: 0.5820 (TP, FP, TN, FN)=(1885, 2457, 4400, 2091), Val Loss: 0.6839 (TP, FP, TN, FN)=(197, 296, 450, 247)
Epoch 110: Train Loss: 0.5793 (TP, FP, TN, FN)=(2231, 3021, 3836, 1745), Val Loss: 0.6871 (TP, FP, TN, FN)=(237, 346, 400, 207)
Epoch 111: Train Loss: 0.5765 (TP, FP, TN, FN)=(2158, 2861, 3996, 1818), Val Loss: 0.6888 (TP, FP, TN, FN)=(230, 333, 413, 214)
Epoch 112: Train Loss: 0.5767 (TP, FP, TN, FN)=(1838, 2342, 4515, 2138), Val Loss: 0.6901 (TP, FP, TN, FN)=(190, 289, 457, 254)
Epoch 113: Train Loss: 0.5742 (TP, FP, TN, FN)=(2239, 2977, 3880, 1737), Val Loss: 0.6930 (TP, FP, TN, FN)=(238, 349, 397, 206)
Epoch 114: Train Loss: 0.5705 (TP, FP, TN, FN)=(2086, 2708, 4149, 1890), Val Loss: 0.6891 (TP, FP, TN, FN)=(218, 322, 424, 226)
Epoch 115: Train Loss: 0.5712 (TP, FP, TN, FN)=(1929, 2476, 4381, 2047), Val Loss: 0.6852 (TP, FP, TN, FN)=(201, 302, 444, 243)
Epoch 116: Train Loss: 0.5696 (TP, FP, TN, FN)=(2318, 3072, 3785, 1658), Val Loss: 0.6935 (TP, FP, TN, FN)=(243, 357, 389, 201)
Epoch 117: Train Loss: 0.5658 (TP, FP, TN, FN)=(1914, 2381, 4476, 2062), Val Loss: 0.6893 (TP, FP, TN, FN)=(200, 296, 450, 244)
Epoch 118: Train Loss: 0.5637 (TP, FP, TN, FN)=(1952, 2428, 4429, 2024), Val Loss: 0.6905 (TP, FP, TN, FN)=(207, 304, 442, 237)
Epoch 119: Train Loss: 0.5621 (TP, FP, TN, FN)=(2223, 2898, 3959, 1753), Val Loss: 0.6936 (TP, FP, TN, FN)=(235, 346, 400, 209)
Epoch 120: Train Loss: 0.5611 (TP, FP, TN, FN)=(2030, 2552, 4305, 1946), Val Loss: 0.6887 (TP, FP, TN, FN)=(210, 306, 440, 234)
Epoch 121: Train Loss: 0.5569 (TP, FP, TN, FN)=(2153, 2732, 4125, 1823), Val Loss: 0.6957 (TP, FP, TN, FN)=(224, 328, 418, 220)
Epoch 122: Train Loss: 0.5565 (TP, FP, TN, FN)=(2125, 2670, 4187, 1851), Val Loss: 0.6949 (TP, FP, TN, FN)=(229, 332, 414, 215)
Epoch 123: Train Loss: 0.5551 (TP, FP, TN, FN)=(1946, 2374, 4483, 2030), Val Loss: 0.6926 (TP, FP, TN, FN)=(203, 295, 451, 241)
Epoch 124: Train Loss: 0.5530 (TP, FP, TN, FN)=(2291, 2953, 3904, 1685), Val Loss: 0.6954 (TP, FP, TN, FN)=(243, 354, 392, 201)
Epoch 125: Train Loss: 0.5499 (TP, FP, TN, FN)=(2096, 2611, 4246, 1880), Val Loss: 0.6933 (TP, FP, TN, FN)=(222, 332, 414, 222)
Epoch 126: Train Loss: 0.5474 (TP, FP, TN, FN)=(2090, 2567, 4290, 1886), Val Loss: 0.6960 (TP, FP, TN, FN)=(219, 324, 422, 225)
Epoch 127: Train Loss: 0.5469 (TP, FP, TN, FN)=(2232, 2770, 4087, 1744), Val Loss: 0.7023 (TP, FP, TN, FN)=(234, 336, 410, 210)
Epoch 128: Train Loss: 0.5453 (TP, FP, TN, FN)=(1964, 2309, 4548, 2012), Val Loss: 0.6961 (TP, FP, TN, FN)=(211, 298, 448, 233)
Epoch 129: Train Loss: 0.5432 (TP, FP, TN, FN)=(2322, 2880, 3977, 1654), Val Loss: 0.7017 (TP, FP, TN, FN)=(241, 343, 403, 203)
Epoch 130: Train Loss: 0.5405 (TP, FP, TN, FN)=(2046, 2468, 4389, 1930), Val Loss: 0.6976 (TP, FP, TN, FN)=(212, 309, 437, 232)
Epoch 131: Train Loss: 0.5379 (TP, FP, TN, FN)=(2201, 2726, 4131, 1775), Val Loss: 0.6980 (TP, FP, TN, FN)=(229, 335, 411, 215)
Epoch 132: Train Loss: 0.5363 (TP, FP, TN, FN)=(2246, 2784, 4073, 1730), Val Loss: 0.7000 (TP, FP, TN, FN)=(232, 343, 403, 212)
Epoch 133: Train Loss: 0.5351 (TP, FP, TN, FN)=(2007, 2343, 4514, 1969), Val Loss: 0.7040 (TP, FP, TN, FN)=(206, 298, 448, 238)
Epoch 134: Train Loss: 0.5345 (TP, FP, TN, FN)=(2394, 2923, 3934, 1582), Val Loss: 0.7103 (TP, FP, TN, FN)=(247, 359, 387, 197)
