Epoch 101: Train Loss: 0.6673 (TP, FP, TN, FN)=(2511, 3947, 2910, 1465), Val Loss: 0.6889 (TP, FP, TN, FN)=(268, 443, 303, 176), f1=0.4641
Epoch 102: Train Loss: 0.6670 (TP, FP, TN, FN)=(2465, 3839, 3018, 1511), Val Loss: 0.6901 (TP, FP, TN, FN)=(261, 433, 313, 183), f1=0.4587
Epoch 103: Train Loss: 0.6669 (TP, FP, TN, FN)=(2399, 3731, 3126, 1577), Val Loss: 0.6916 (TP, FP, TN, FN)=(252, 414, 332, 192), f1=0.4541
Epoch 104: Train Loss: 0.6667 (TP, FP, TN, FN)=(2384, 3709, 3148, 1592), Val Loss: 0.6923 (TP, FP, TN, FN)=(250, 412, 334, 194), f1=0.4521
Epoch 105: Train Loss: 0.6665 (TP, FP, TN, FN)=(2432, 3792, 3065, 1544), Val Loss: 0.6916 (TP, FP, TN, FN)=(257, 427, 319, 187), f1=0.4557
Epoch 106: Train Loss: 0.6663 (TP, FP, TN, FN)=(2496, 3935, 2922, 1480), Val Loss: 0.6908 (TP, FP, TN, FN)=(268, 443, 303, 176), f1=0.4641
Epoch 107: Train Loss: 0.6662 (TP, FP, TN, FN)=(2507, 3985, 2872, 1469), Val Loss: 0.6904 (TP, FP, TN, FN)=(268, 448, 298, 176), f1=0.4621
Epoch 108: Train Loss: 0.6659 (TP, FP, TN, FN)=(2474, 3886, 2971, 1502), Val Loss: 0.6906 (TP, FP, TN, FN)=(266, 436, 310, 178), f1=0.4642
Epoch 109: Train Loss: 0.6658 (TP, FP, TN, FN)=(2418, 3774, 3083, 1558), Val Loss: 0.6911 (TP, FP, TN, FN)=(255, 422, 324, 189), f1=0.4550
Epoch 110: Train Loss: 0.6656 (TP, FP, TN, FN)=(2391, 3738, 3119, 1585), Val Loss: 0.6912 (TP, FP, TN, FN)=(253, 418, 328, 191), f1=0.4538
Epoch 111: Train Loss: 0.6654 (TP, FP, TN, FN)=(2426, 3809, 3048, 1550), Val Loss: 0.6906 (TP, FP, TN, FN)=(258, 427, 319, 186), f1=0.4570
Epoch 112: Train Loss: 0.6653 (TP, FP, TN, FN)=(2474, 3913, 2944, 1502), Val Loss: 0.6901 (TP, FP, TN, FN)=(265, 436, 310, 179), f1=0.4629
Epoch 113: Train Loss: 0.6651 (TP, FP, TN, FN)=(2482, 3940, 2917, 1494), Val Loss: 0.6901 (TP, FP, TN, FN)=(265, 440, 306, 179), f1=0.4613
Epoch 114: Train Loss: 0.6649 (TP, FP, TN, FN)=(2444, 3858, 2999, 1532), Val Loss: 0.6907 (TP, FP, TN, FN)=(262, 432, 314, 182), f1=0.4605
Epoch 115: Train Loss: 0.6647 (TP, FP, TN, FN)=(2411, 3768, 3089, 1565), Val Loss: 0.6915 (TP, FP, TN, FN)=(257, 422, 324, 187), f1=0.4577
Epoch 116: Train Loss: 0.6646 (TP, FP, TN, FN)=(2409, 3757, 3100, 1567), Val Loss: 0.6919 (TP, FP, TN, FN)=(256, 422, 324, 188), f1=0.4563
Epoch 117: Train Loss: 0.6644 (TP, FP, TN, FN)=(2430, 3821, 3036, 1546), Val Loss: 0.6917 (TP, FP, TN, FN)=(259, 430, 316, 185), f1=0.4572
Epoch 118: Train Loss: 0.6643 (TP, FP, TN, FN)=(2463, 3891, 2966, 1513), Val Loss: 0.6914 (TP, FP, TN, FN)=(262, 440, 306, 182), f1=0.4572
Epoch 119: Train Loss: 0.6641 (TP, FP, TN, FN)=(2467, 3894, 2963, 1509), Val Loss: 0.6913 (TP, FP, TN, FN)=(262, 442, 304, 182), f1=0.4564
Epoch 120: Train Loss: 0.6639 (TP, FP, TN, FN)=(2440, 3843, 3014, 1536), Val Loss: 0.6915 (TP, FP, TN, FN)=(260, 431, 315, 184), f1=0.4581
Epoch 121: Train Loss: 0.6638 (TP, FP, TN, FN)=(2417, 3786, 3071, 1559), Val Loss: 0.6917 (TP, FP, TN, FN)=(256, 426, 320, 188), f1=0.4547
Epoch 122: Train Loss: 0.6636 (TP, FP, TN, FN)=(2417, 3795, 3062, 1559), Val Loss: 0.6914 (TP, FP, TN, FN)=(257, 426, 320, 187), f1=0.4561
