detector_id,correlation,correlation_ma
09105171,0.579,0.597
09105173,0.517,0.529
09105175,0.208,0.091
09105180,0.077,0.080
09105182,-0.169,-0.232
09105184,0.161,0.154
09110133,0.280,0.515
09110134,-0.423,-0.256
09110137,-0.333,-0.196
09110170,0.600,0.672
09110172,0.091,0.204
09110174,0.822,0.848
09110190,0.025,0.095
09110192,0.111,0.182
09110194,0.662,0.740
09113112,-0.456,-0.413
09113114,-0.458,-0.432
09113122,-0.011,0.101
09113124,0.281,0.448
09160151,0.355,0.384
09160152,0.645,0.335
09160153,0.675,0.334
09160154,N/A,0.522
09180181,-0.766,-0.782
09180183,-0.649,-0.631
09180185,0.628,0.693
09293180,0.622,0.682
09293182,0.316,0.395
09293184,0.306,0.296
09293186,0.914,0.963
09293188,-0.597,-0.627
09293190,-0.323,-0.281
09293192,N/A,N/A
09310180,0.072,0.144
09310182,0.366,0.399
09310184,0.975,0.989
09310186,0.979,0.992
09310188,N/A,N/A
09310190,N/A,N/A
09310192,N/A,N/A
09310194,0.463,0.498
09321170,0.783,0.868
09321172,0.978,0.988
09321180,-0.125,-0.051
09321182,0.935,0.958
09321184,0.012,0.012
09415113,N/A,N/A
09415131,0.475,0.548
1,-0.075,0.062
10,0.414,0.504
100,-0.047,0.050
1000,0.171,0.269
10001010[D7_1C],-0.030,-0.005
10001011[D7_2C],-0.226,-0.151
10002009[D6-3B],-0.111,-0.174
10002010[D6-2C],-0.663,-0.784
10002011[D6-3C],0.035,0.097
10002012[D7-1B],-0.203,-0.361
10002013[D7-2B],-0.258,-0.422
10002015[D7-2C],-0.407,-0.500
10002016[D8-1B],-0.422,-0.501
10002017[D8-2B],0.076,0.153
10002018[D8-3B],-0.187,-0.238
10003012[D8],0.123,0.361
10003013[D8a],0.206,0.355
10003014[D9],-0.551,-0.559
10003015[D9a],-0.465,-0.440
10003016[D10],-0.214,-0.277
10003017[D1_1c],0.260,0.286
10003018[D1_2c],0.044,0.182
10003022[D4_1c],0.778,0.876
10003023[D4_2c],0.446,0.580
10003024[D4_3c],0.123,0.373
10003025[D4_4c],0.229,0.496
10003026[D4_5c],0.396,0.380
10003027[D1_1x],0.215,0.363
10003028[D1_2x],-0.352,-0.377
10003029[D4_1x],0.868,0.941
10003030[D4_2x],0.905,0.957
10004,-0.052,-0.056
10004001,0.224,0.174
10004002,0.142,0.316
10004004,-0.035,0.188
10004005,-0.095,0.022
10004006,0.650,0.893
10004007,0.530,0.809
10004008,0.551,0.534
10004009,0.424,0.480
10004010,0.557,0.581
10004011,0.332,0.679
10004012,0.507,0.633
10004013,0.350,0.540
10004014,0.080,0.071
10004021,0.677,0.806
10004022,0.866,0.912
10005,-0.579,-0.609
10005001[D1_1B],-0.485,-0.663
10005002[D1_2B],-0.273,-0.304
10005004[D2_1B],-0.353,-0.410
10005005[D2_2B],-0.226,-0.118
10005007[D3_1B],-0.307,-0.369
10005008[D3_2B],-0.310,-0.454
10005009[D3_3B],-0.368,-0.401
10005010[D3_4B],-0.275,-0.320
10005040[D1_1X.1],-0.085,0.103
10005042[D1_2X.1],-0.505,-0.591
10005048[D3_1X.1],0.906,0.949
10005050[D3_2X.1],0.582,0.652
10005052[D3_3X.1],0.456,0.693
10006,0.716,0.776
10006001,0.337,0.588
10006002,0.301,0.358
10006003,0.097,0.146
10006004,0.190,0.276
10006005,0.392,0.668
10006006,0.107,0.206
10006007,0.193,0.235
10006007[D2_4x],N/A,N/A
10006008,0.144,0.214
10006008[D2_5x],N/A,-0.114
10006009[D3_4x.1],0.332,0.403
10006011[D3_5x.1],0.058,0.074
10007,-0.363,-0.113
10007004[D2_1B],0.262,0.245
10007005[D2_2B],0.276,0.315
10007006[D2_3B],0.154,0.213
10007007[D4_1B],0.183,0.268
10007008[D5_1B],0.094,0.309
10007009[D8_1B],0.401,0.518
10007010[D8_2B],0.285,0.433
10008001,-0.046,-0.075
10008002,0.204,0.364
10008003,0.482,0.360
10008004,0.363,0.359
10008005,0.252,0.389
10008006,0.460,0.590
10008007,0.613,0.816
10008007[D8_1b],0.285,0.496
10008008,0.400,0.613
10008008[D8_2b],0.421,0.500
10008009,0.098,0.276
10008009[D8_1c],0.411,0.528
10008010,0.473,0.495
10008010[D6_1b],0.172,0.107
10008011,0.577,0.722
10008011[D6_2b],-0.217,0.010
10008012,0.509,0.600
10008013,0.203,0.232
10009,0.352,0.440
10009004[6_1B],-0.265,-0.119
10009005[6_2B],-0.083,-0.126
10009006[7_1B],-0.162,-0.087
10009007[7_2B],N/A,0.134
10009008[8_1B],-0.214,-0.239
10009009[8_2B],-0.138,0.121
1001,0.131,0.280
10010,0.406,0.488
10010001,0.188,0.384
10010002,-0.071,-0.128
10010004,0.470,0.597
10010005,-0.144,0.110
10010006,0.233,0.323
10010008,-0.054,-0.149
10010009,0.056,0.060
10011001,-0.382,-0.184
10011002,-0.438,-0.181
10011003,0.268,0.340
10011004,-0.148,-0.094
10011005,0.055,0.065
10011007,-0.035,-0.064
10011008,-0.206,-0.105
10011009,-0.652,-0.709
10012,0.467,0.610
10012001,0.129,0.238
10012001[D6_1B],0.186,0.488
10012002,0.216,0.271
10012002[D6_2B],-0.471,-0.458
10012003,-0.115,-0.132
10012003[D7_1B],-0.599,-0.563
10012004,-0.248,-0.246
10012004[D7_2B],N/A,N/A
10012005[D5_1B],-0.142,-0.034
10012006[D5_2B],0.151,0.232
10013,0.608,0.692
10013001[D11_1B],0.763,0.832
10013002[D11_2B],0.774,0.837
10013003[D3_1B],0.702,0.766
10013004[D3_2B],0.840,0.886
10013005[D1_1B],0.711,0.776
10013006[D1_2B],0.804,0.880
10014,0.226,0.331
10014001[IDP1],-0.340,-0.094
10014004[IDP4],-0.612,-0.681
10015,0.635,0.703
10016002[D2_2B],0.293,0.531
10016003[D2_3B],0.223,0.346
10017,0.549,0.635
10018,0.456,0.551
10018001,0.355,0.574
10018002,0.089,0.107
10018003,0.031,0.200
10018003[IDP3],0.152,0.212
10018004,0.207,0.490
10018004[IDP4],0.304,0.304
10018005,0.195,0.454
10018006,0.374,0.441
10018007,0.153,0.240
10018008,-0.113,0.124
10018009,0.279,0.260
10018010,0.274,0.481
10018011,0.213,0.467
10018012,0.297,0.429
10018013,0.496,0.684
10018035,0.893,0.947
10019,0.821,0.882
10019001[IDP1],0.448,0.530
10019002[IDP1a],0.427,0.448
1002,0.266,0.342
10020,-0.084,-0.029
10022,0.808,0.848
10022010[D3_1C],0.792,0.852
10022011[D4_1C],0.576,0.736
10022012[D4_2C],0.820,0.913
10022016[D2_1X],0.701,0.793
10022017[D2_2x],0.931,0.966
10022018[D3_1X],0.634,0.771
10022019[D4_1X],0.737,0.876
10022020[D4_2X],0.926,0.964
10023,0.590,0.686
10023002[D4_1c],0.902,0.956
10023003[D4_2c],0.213,0.364
10023004[D4_3c],0.344,0.473
10023005[D4_4x],0.840,0.904
10023006[D4_5x],0.835,0.913
10023007[D2_3c],0.842,0.901
10023008[D2_4x],0.871,0.920
10023009[D2_5x],0.785,0.866
10024,0.075,0.178
10024004[D4_1B],0.500,0.741
10024005[D4_2B],0.640,0.784
10024006[D4_1C],0.718,0.873
10024007[D4_2C],0.828,0.914
10024008[D4_3B],0.179,0.392
10024009[D4_3C1],0.253,0.538
10024010[D4_3C2],0.318,0.471
10024011[D1_1B],0.339,0.564
10024013[D2_1B],0.652,0.786
10024014[D2_1C],0.783,0.826
10024015[D2_2B],0.382,0.701
10024016[D2_2C],0.461,0.726
10024017[D2_3B],0.431,0.695
10024018[D2_3C],0.468,0.685
10024025[D2_4X.1],0.685,0.810
