Epoch 147: Train Loss: 0.6498 (TP, FP, TN, FN)=(2770, 4057, 2800, 1206), Val Loss: 0.7130 (TP, FP, TN, FN)=(297, 433, 313, 147)
Epoch 148: Train Loss: 0.6484 (TP, FP, TN, FN)=(2490, 3474, 3383, 1486), Val Loss: 0.7154 (TP, FP, TN, FN)=(268, 356, 390, 176)
Epoch 149: Train Loss: 0.6488 (TP, FP, TN, FN)=(2355, 3215, 3642, 1621), Val Loss: 0.7184 (TP, FP, TN, FN)=(254, 320, 426, 190)
Epoch 150: Train Loss: 0.6494 (TP, FP, TN, FN)=(2646, 3773, 3084, 1330), Val Loss: 0.7175 (TP, FP, TN, FN)=(281, 394, 352, 163)
Epoch 151: Train Loss: 0.6475 (TP, FP, TN, FN)=(2484, 3414, 3443, 1492), Val Loss: 0.7177 (TP, FP, TN, FN)=(269, 362, 384, 175)
Epoch 152: Train Loss: 0.6488 (TP, FP, TN, FN)=(2418, 3315, 3542, 1558), Val Loss: 0.7179 (TP, FP, TN, FN)=(265, 356, 390, 179)
Epoch 153: Train Loss: 0.6490 (TP, FP, TN, FN)=(2768, 3980, 2877, 1208), Val Loss: 0.7135 (TP, FP, TN, FN)=(296, 426, 320, 148)
Epoch 154: Train Loss: 0.6469 (TP, FP, TN, FN)=(2401, 3266, 3591, 1575), Val Loss: 0.7138 (TP, FP, TN, FN)=(259, 328, 418, 185)
Epoch 155: Train Loss: 0.6478 (TP, FP, TN, FN)=(2311, 3085, 3772, 1665), Val Loss: 0.7155 (TP, FP, TN, FN)=(252, 305, 441, 192)
Epoch 156: Train Loss: 0.6482 (TP, FP, TN, FN)=(2725, 3886, 2971, 1251), Val Loss: 0.7139 (TP, FP, TN, FN)=(288, 408, 338, 156)
Epoch 157: Train Loss: 0.6470 (TP, FP, TN, FN)=(2494, 3431, 3426, 1482), Val Loss: 0.7155 (TP, FP, TN, FN)=(267, 363, 383, 177)
Epoch 158: Train Loss: 0.6470 (TP, FP, TN, FN)=(2437, 3345, 3512, 1539), Val Loss: 0.7158 (TP, FP, TN, FN)=(262, 358, 388, 182)
Epoch 159: Train Loss: 0.6477 (TP, FP, TN, FN)=(2709, 3831, 3026, 1267), Val Loss: 0.7143 (TP, FP, TN, FN)=(289, 404, 342, 155)
