Epoch 094: Train Loss: 0.6123 (TP, FP, TN, FN)=(2174, 2993, 4028, 1848), Val Loss: 0.6269 (TP, FP, TN, FN)=(243, 311, 435, 201), f1=0.4870
Epoch 095: Train Loss: 0.6082 (TP, FP, TN, FN)=(2295, 2982, 4049, 1936), Val Loss: 0.6273 (TP, FP, TN, FN)=(239, 309, 437, 205), f1=0.4819
Epoch 096: Train Loss: 0.6060 (TP, FP, TN, FN)=(2178, 2926, 4026, 1825), Val Loss: 0.6290 (TP, FP, TN, FN)=(239, 302, 444, 205), f1=0.4853
Epoch 097: Train Loss: 0.6054 (TP, FP, TN, FN)=(2164, 2895, 4092, 1844), Val Loss: 0.6307 (TP, FP, TN, FN)=(242, 293, 453, 202), f1=0.4944
Epoch 098: Train Loss: 0.6028 (TP, FP, TN, FN)=(2083, 2730, 4191, 1926), Val Loss: 0.6292 (TP, FP, TN, FN)=(227, 286, 460, 217), f1=0.4744
Epoch 099: Train Loss: 0.6012 (TP, FP, TN, FN)=(2204, 2961, 3973, 1787), Val Loss: 0.6268 (TP, FP, TN, FN)=(244, 311, 435, 200), f1=0.4885
Epoch 100: Train Loss: 0.5996 (TP, FP, TN, FN)=(2144, 2960, 4155, 1886), Val Loss: 0.6250 (TP, FP, TN, FN)=(237, 309, 437, 207), f1=0.4788
Epoch 101: Train Loss: 0.5974 (TP, FP, TN, FN)=(2187, 2981, 3985, 1829), Val Loss: 0.6250 (TP, FP, TN, FN)=(247, 317, 429, 197), f1=0.4901
Epoch 102: Train Loss: 0.5944 (TP, FP, TN, FN)=(2061, 2776, 4318, 1968), Val Loss: 0.6333 (TP, FP, TN, FN)=(222, 289, 457, 222), f1=0.4649
Epoch 103: Train Loss: 0.5910 (TP, FP, TN, FN)=(2120, 2788, 4150, 1882), Val Loss: 0.6318 (TP, FP, TN, FN)=(227, 295, 451, 217), f1=0.4700
Epoch 104: Train Loss: 0.5913 (TP, FP, TN, FN)=(2125, 2835, 4099, 1878), Val Loss: 0.6278 (TP, FP, TN, FN)=(230, 297, 449, 214), f1=0.4737
Epoch 105: Train Loss: 0.5893 (TP, FP, TN, FN)=(2191, 2964, 3993, 1843), Val Loss: 0.6220 (TP, FP, TN, FN)=(235, 313, 433, 209), f1=0.4738
Epoch 106: Train Loss: 0.5867 (TP, FP, TN, FN)=(2096, 2869, 4100, 1918), Val Loss: 0.6211 (TP, FP, TN, FN)=(217, 304, 442, 227), f1=0.4497
Epoch 107: Train Loss: 0.5892 (TP, FP, TN, FN)=(2145, 2923, 4093, 1893), Val Loss: 0.6246 (TP, FP, TN, FN)=(222, 298, 448, 222), f1=0.4606
Epoch 108: Train Loss: 0.5848 (TP, FP, TN, FN)=(2097, 2704, 4520, 2170), Val Loss: 0.6328 (TP, FP, TN, FN)=(210, 277, 469, 234), f1=0.4511
Epoch 109: Train Loss: 0.5844 (TP, FP, TN, FN)=(2124, 2796, 4178, 1869), Val Loss: 0.6315 (TP, FP, TN, FN)=(230, 295, 451, 214), f1=0.4747
Epoch 110: Train Loss: 0.5775 (TP, FP, TN, FN)=(1903, 2483, 4411, 2096), Val Loss: 0.6256 (TP, FP, TN, FN)=(201, 266, 480, 243), f1=0.4413
Epoch 111: Train Loss: 0.5776 (TP, FP, TN, FN)=(2327, 3241, 3647, 1653), Val Loss: 0.6248 (TP, FP, TN, FN)=(253, 355, 391, 191), f1=0.4810
Epoch 112: Train Loss: 0.5775 (TP, FP, TN, FN)=(1747, 2356, 4741, 2284), Val Loss: 0.6220 (TP, FP, TN, FN)=(188, 242, 504, 256), f1=0.4302
Epoch 113: Train Loss: 0.5724 (TP, FP, TN, FN)=(2238, 2960, 3978, 1752), Val Loss: 0.6285 (TP, FP, TN, FN)=(240, 308, 438, 204), f1=0.4839
Epoch 114: Train Loss: 0.5714 (TP, FP, TN, FN)=(2070, 2625, 4305, 1959), Val Loss: 0.6327 (TP, FP, TN, FN)=(216, 280, 466, 228), f1=0.4596
Epoch 115: Train Loss: 0.5674 (TP, FP, TN, FN)=(1853, 2326, 4612, 2170), Val Loss: 0.6302 (TP, FP, TN, FN)=(200, 244, 502, 244), f1=0.4505
Epoch 116: Train Loss: 0.5678 (TP, FP, TN, FN)=(2262, 3051, 3860, 1721), Val Loss: 0.6247 (TP, FP, TN, FN)=(242, 327, 419, 202), f1=0.4778
Epoch 117: Train Loss: 0.5616 (TP, FP, TN, FN)=(2105, 2778, 4155, 1898), Val Loss: 0.6201 (TP, FP, TN, FN)=(224, 296, 450, 220), f1=0.4647
Epoch 118: Train Loss: 0.5649 (TP, FP, TN, FN)=(1877, 2397, 4735, 2194), Val Loss: 0.6277 (TP, FP, TN, FN)=(191, 247, 499, 253), f1=0.4331
Epoch 119: Train Loss: 0.5633 (TP, FP, TN, FN)=(2181, 2868, 4108, 1851), Val Loss: 0.6181 (TP, FP, TN, FN)=(227, 297, 449, 217), f1=0.4690
Epoch 120: Train Loss: 0.5634 (TP, FP, TN, FN)=(1946, 2457, 4505, 2041), Val Loss: 0.6217 (TP, FP, TN, FN)=(200, 252, 494, 244), f1=0.4464
Epoch 121: Train Loss: 0.5625 (TP, FP, TN, FN)=(1945, 2425, 4547, 2052), Val Loss: 0.6277 (TP, FP, TN, FN)=(203, 250, 496, 241), f1=0.4526
Epoch 122: Train Loss: 0.5600 (TP, FP, TN, FN)=(2117, 2708, 4276, 1915), Val Loss: 0.6293 (TP, FP, TN, FN)=(221, 286, 460, 223), f1=0.4648
Epoch 123: Train Loss: 0.5590 (TP, FP, TN, FN)=(2121, 2803, 4269, 1891), Val Loss: 0.6227 (TP, FP, TN, FN)=(223, 289, 457, 221), f1=0.4665
Epoch 124: Train Loss: 0.5585 (TP, FP, TN, FN)=(2059, 2624, 4333, 1952), Val Loss: 0.6249 (TP, FP, TN, FN)=(213, 279, 467, 231), f1=0.4551
Epoch 125: Train Loss: 0.5556 (TP, FP, TN, FN)=(2148, 2732, 4254, 1865), Val Loss: 0.6307 (TP, FP, TN, FN)=(221, 290, 456, 223), f1=0.4628
Epoch 126: Train Loss: 0.5526 (TP, FP, TN, FN)=(2060, 2582, 4379, 1948), Val Loss: 0.6287 (TP, FP, TN, FN)=(207, 270, 476, 237), f1=0.4495
Epoch 127: Train Loss: 0.5501 (TP, FP, TN, FN)=(2085, 2603, 4341, 1914), Val Loss: 0.6262 (TP, FP, TN, FN)=(208, 266, 480, 236), f1=0.4532
Epoch 128: Train Loss: 0.5486 (TP, FP, TN, FN)=(2230, 2932, 4203, 1806), Val Loss: 0.6285 (TP, FP, TN, FN)=(231, 310, 436, 213), f1=0.4690
Epoch 129: Train Loss: 0.5489 (TP, FP, TN, FN)=(1907, 2308, 4737, 2116), Val Loss: 0.6346 (TP, FP, TN, FN)=(191, 234, 512, 253), f1=0.4396
Epoch 130: Train Loss: 0.5495 (TP, FP, TN, FN)=(2375, 3023, 3866, 1605), Val Loss: 0.6378 (TP, FP, TN, FN)=(248, 328, 418, 196), f1=0.4863
Epoch 131: Train Loss: 0.5455 (TP, FP, TN, FN)=(1869, 2198, 4857, 2189), Val Loss: 0.6409 (TP, FP, TN, FN)=(187, 224, 522, 257), f1=0.4374
Epoch 132: Train Loss: 0.5446 (TP, FP, TN, FN)=(2275, 2857, 4050, 1712), Val Loss: 0.6319 (TP, FP, TN, FN)=(246, 308, 438, 198), f1=0.4930
Epoch 133: Train Loss: 0.5398 (TP, FP, TN, FN)=(2068, 2524, 4503, 1947), Val Loss: 0.6232 (TP, FP, TN, FN)=(213, 269, 477, 231), f1=0.4600
Epoch 134: Train Loss: 0.5363 (TP, FP, TN, FN)=(1911, 2304, 4751, 2099), Val Loss: 0.6207 (TP, FP, TN, FN)=(195, 234, 512, 249), f1=0.4467
Epoch 135: Train Loss: 0.5379 (TP, FP, TN, FN)=(2331, 2913, 3978, 1647), Val Loss: 0.6242 (TP, FP, TN, FN)=(244, 319, 427, 200), f1=0.4846
Epoch 136: Train Loss: 0.5347 (TP, FP, TN, FN)=(1966, 2280, 4642, 2032), Val Loss: 0.6315 (TP, FP, TN, FN)=(200, 246, 500, 244), f1=0.4494
Epoch 137: Train Loss: 0.5276 (TP, FP, TN, FN)=(2166, 2539, 4470, 1829), Val Loss: 0.6326 (TP, FP, TN, FN)=(226, 269, 477, 218), f1=0.4814
Epoch 138: Train Loss: 0.5333 (TP, FP, TN, FN)=(2274, 2654, 4456, 1969), Val Loss: 0.6292 (TP, FP, TN, FN)=(230, 276, 470, 214), f1=0.4842
Epoch 139: Train Loss: 0.5271 (TP, FP, TN, FN)=(2171, 2423, 4686, 2109), Val Loss: 0.6236 (TP, FP, TN, FN)=(213, 261, 485, 231), f1=0.4641
Epoch 140: Train Loss: 0.5253 (TP, FP, TN, FN)=(2326, 2777, 4185, 1709), Val Loss: 0.6238 (TP, FP, TN, FN)=(248, 301, 445, 196), f1=0.4995
Epoch 141: Train Loss: 0.5233 (TP, FP, TN, FN)=(2090, 2373, 4633, 1962), Val Loss: 0.6246 (TP, FP, TN, FN)=(212, 264, 482, 232), f1=0.4609
Epoch 142: Train Loss: 0.5183 (TP, FP, TN, FN)=(2225, 2623, 4359, 1812), Val Loss: 0.6296 (TP, FP, TN, FN)=(230, 281, 465, 214), f1=0.4817
Epoch 143: Train Loss: 0.5178 (TP, FP, TN, FN)=(2163, 2438, 4683, 2095), Val Loss: 0.6313 (TP, FP, TN, FN)=(210, 260, 486, 234), f1=0.4595
Epoch 144: Train Loss: 0.5138 (TP, FP, TN, FN)=(2208, 2660, 4325, 1823), Val Loss: 0.6223 (TP, FP, TN, FN)=(229, 284, 462, 215), f1=0.4786
Epoch 145: Train Loss: 0.5147 (TP, FP, TN, FN)=(2150, 2563, 4489, 1859), Val Loss: 0.6161 (TP, FP, TN, FN)=(231, 284, 462, 213), f1=0.4818
Epoch 146: Train Loss: 0.5144 (TP, FP, TN, FN)=(2253, 2604, 4343, 1756), Val Loss: 0.6202 (TP, FP, TN, FN)=(234, 286, 460, 210), f1=0.4855
Epoch 147: Train Loss: 0.5095 (TP, FP, TN, FN)=(2031, 2281, 4792, 1975), Val Loss: 0.6259 (TP, FP, TN, FN)=(203, 251, 495, 241), f1=0.4521
