detector_id,correlation,correlation_ma
4115011,0.957,0.974
4115012,-0.049,0.083
4115021,0.791,0.881
4115022,0.933,0.946
4118011,0.135,0.742
4118012,0.989,0.996
4118013,0.223,0.757
4118014,0.964,0.986
422.22,0.214,0.364
422.32,0.761,0.847
501.21,0.436,0.614
501.22,0.123,0.157
501.23AD,0.735,0.803
501.24AD,-0.144,-0.209
501.71,0.366,0.534
501.72,-0.039,0.045
501.73,0.338,0.530
501.74,0.464,0.645
501.75,0.125,0.317
501.76,-0.161,-0.234
501.81,0.201,0.355
501.82,0.093,0.130
501.83AD,0.482,0.598
501.84AD,0.677,0.771
502.11,-0.121,-0.093
502.12,-0.143,-0.110
502.43A,N/A,N/A
504.24A,0.369,0.404
504.31,0.199,0.346
504.32,0.217,0.320
504.41,0.626,0.709
504.51,0.345,0.552
504.52,-0.260,-0.222
504.53,0.421,0.541
504.54,0.359,0.454
505.12A,0.401,0.448
505.13A,0.094,0.104
505.31A,0.355,0.669
505.32A,0.615,0.712
506.11,0.497,0.560
506.12,0.402,0.562
506.13,-0.046,-0.019
506.21,-0.364,-0.498
506.22,-0.179,-0.214
506.31,0.380,0.467
506.32,0.273,0.343
506.33,0.308,0.393
507.11A,0.221,0.276
507.12A,0.274,0.291
507.31A,0.454,0.590
508.31A,0.634,0.678
508.32A,0.410,0.528
509.11,0.118,0.223
509.12A,-0.172,-0.131
509.21,0.474,0.671
509.31,N/A,N/A
509.32A,0.214,0.259
513.11,0.214,0.227
513.12,0.541,0.711
513.22,-0.480,-0.391
513.23,-0.111,0.000
513.24,0.188,0.276
513.42,0.747,0.820
513.43,-0.003,0.070
555.11,0.568,0.768
555.12,-0.202,-0.181
555.31,0.652,0.727
555.32,0.876,0.937
555.41,0.503,0.559
555.42,0.737,0.818
560.21,N/A,N/A
560.41,N/A,N/A
561.11,0.669,0.789
561.31,0.661,0.702
561.41,0.588,0.727
561.42,0.201,0.236
601.21A,0.909,0.951
601.22A,0.870,0.945
601.31,0.786,0.865
601.32A,0.706,0.834
602.11,0.518,0.723
602.12,0.742,0.823
602.21A,0.917,0.960
602.22A,0.827,0.932
602.23A,0.917,0.947
602.31,0.666,0.804
603.21A,N/A,N/A
603.22A,N/A,N/A
604.21A,0.873,0.914
604.22A,0.580,0.641
604.31A,0.938,0.964
605.21A,0.248,0.275
605.22A,0.372,0.377
605.31,0.689,0.744
605.32,0.626,0.696
605.41,-0.069,0.138
605.42,0.476,0.657
606.21A,0.429,0.541
606.22A,0.685,0.742
607.11A,0.605,0.772
607.12A,0.811,0.885
607.22A,-0.292,-0.201
607.23A,-0.065,0.199
608.21,0.408,0.583
608.22,0.266,0.402
608.41A,-0.047,0.030
609.21,N/A,N/A
609.41A,0.783,0.888
704.11,N/A,N/A
704.21,0.481,0.592
704.31,0.540,0.719
704.32A,-0.344,-0.306
704.41,0.228,0.299
705.31,0.514,0.689
705.32,0.052,0.074
705.41A,0.664,0.763
705.42A,0.671,0.676
706.11,0.132,0.251
706.12,0.405,0.541
706.13,0.229,0.455
706.21A,0.172,0.201
706.22A,0.372,0.357
706.23,0.294,0.407
706.24,0.577,0.685
706.31,0.285,0.342
706.32,0.591,0.733
707.21,0.671,0.787
707.31,0.656,0.786
707.32,0.460,0.669
707.41,0.266,0.445
707.42,0.864,0.910
707.43A,0.922,0.963
707.44A,0.374,0.402
711.11,0.412,0.579
711.21,0.504,0.614
711.31,0.759,0.879
711.41,0.584,0.659
718.21,0.761,0.835
718.41,0.423,0.516
720.41D,0.284,0.369
720.42D,0.245,0.334
822.11,-0.122,-0.148
822.12,0.522,0.570
822.13A,0.527,0.559
822.14A,0.747,0.845
901.11,0.193,0.359
901.21,0.391,0.480
901.31,0.533,0.450
901.32,0.343,0.486
901.33,0.431,0.524
901.41,0.224,0.410
902.11,0.470,0.617
902.12,0.489,0.655
902.41,N/A,N/A
